company_name,industry,employee_count,annual_revenue_usd,founding_year,tech_stack,deal_size_usd,ltv_usd,sales_cycle_days,churned,country,nps_score
Acme Corp,Technology,250,15000000,2010,"AWS, Salesforce, HubSpot",50000,200000,30,false,US,72
Beta Industries,Manufacturing,500,30000000,1995,"SAP, On-premise ERP",80000,80000,90,true,US,
Gamma Health,Healthcare,120,8000000,2015,"Azure, Epic EHR, Slack",35000,175000,45,false,US,65
Delta Finance,Financial Services,800,120000000,2002,"Oracle, Bloomberg, Python",150000,600000,60,false,US,80
Epsilon Retail,Retail,200,25000000,2012,"Shopify, Google Cloud, Klaviyo",40000,40000,75,true,CA,
Zeta Logistics,Transportation,350,45000000,2008,"SAP, Legacy WMS, Excel",70000,70000,120,true,US,38
Eta Media,Media & Entertainment,90,6000000,2018,"AWS, Segment, Amplitude",25000,100000,28,false,US,78
Theta Energy,Energy & Utilities,600,200000000,1985,"Oracle ERP, Custom SCADA",200000,400000,90,false,US,55
Iota SaaS,Technology,180,22000000,2017,"GCP, Stripe, Intercom",60000,240000,35,false,US,88
Kappa Pharma,Healthcare,400,75000000,2005,"Veeva, Salesforce, Azure",120000,480000,80,false,US,70
Lambda Edu,Education,300,18000000,2014,"Canvas, AWS, Zoom",45000,90000,60,true,CA,42
Mu Consulting,Professional Services,80,9000000,2019,"HubSpot, Notion, Slack",30000,150000,25,false,BR,76
